,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
118,Idaho State,30,15,15,0.5,-3.95,-4.02,,10,8,,10,4,,5,10,,74.3,70,,40.2,26,60.3,0.431,7.37,22.7,0.325,15,20.3,0.742,14.1,38.1,13.3,6.03,4.5,10.7,16.5
119,Illinois ,35,22,13,0.629,21.59,12.79,,12,8,,13,4,,5,5,,83.6,74.8,,40.3,28.7,63.8,0.451,9.43,30.1,0.313,16.7,21.9,0.762,12.9,42.6,14.9,4.29,4.2,11.7,16.2
120,Illinois State,36,22,14,0.611,1.91,-0.57,,10,10,,12,4,,5,7,,75.8,71.8,,40.1,26.6,55.1,0.482,9.78,26,0.376,12.9,17.2,0.749,7.72,32.3,14.4,5.56,1.78,10.5,16.7
121,Illinois-Chicago,31,17,14,0.548,-0.63,0.58,,10,10,,9,5,,7,6,,76,73.7,,40.6,26.8,58.9,0.455,8.06,23.1,0.349,14.4,20,0.719,10.6,36.1,15.4,6.77,3.13,12.1,17.7
122,Incarnate Word,36,19,17,0.528,-5.61,-5.23,,9,11,,11,5,,4,10,,73.9,69.7,,40.3,27.3,58.3,0.468,7.75,20.9,0.371,11.6,16.9,0.685,11.9,35.1,12.3,6.94,3.72,11.5,16.7
123,Indiana,32,19,13,0.594,14.63,12,,10,10,,14,4,,4,6,,74.7,72,,40.2,27.2,59.4,0.458,6.34,19.8,0.321,13.9,19.7,0.706,10.9,36.4,15.9,5.81,3.34,11.6,16.6
124,Indiana State,32,14,18,0.438,-3.15,-0.65,,8,12,,8,6,,4,9,,80.1,79.5,,40.5,27.4,58.9,0.465,10.1,29.1,0.347,15.2,20.3,0.749,9.19,35.6,15.7,6.84,2.22,14,18.3
125,Iona,34,17,17,0.5,-8.58,-7.78,,12,8,,7,7,,7,7,,69.7,70.5,,40.3,25.6,61,0.42,6.74,21.2,0.318,11.6,17,0.685,14.6,37,14.5,9.62,2.82,14.4,18.3
126,Iowa,33,17,16,0.515,12.85,10.06,,7,13,,12,6,,2,8,,82.5,79.7,,40.2,30.6,62.6,0.49,9.76,25.7,0.38,11.5,16.2,0.705,8.67,32,18.3,6.64,4.18,9.79,15.4
127,Iowa State ,35,25,10,0.714,22.33,10.33,,13,7,,15,2,,6,5,,80.3,68.3,,40.6,28.1,58.1,0.483,7.66,21.4,0.358,16.6,22,0.753,10.3,35.4,15,9.29,3.43,12,16.2
128,IU Indy,32,10,22,0.313,-11.52,-4.24,,6,14,,6,8,,4,12,,75.1,76.8,,40.2,25.1,58.5,0.429,10.3,27.4,0.374,14.6,19.8,0.741,11.4,33.5,13.6,6.22,2,10.3,17.5
129,Jackson State,34,16,18,0.471,-9.39,-6.24,,14,4,,8,1,,6,15,,71.4,74.6,,40.6,24.6,58.2,0.422,6.38,19.6,0.326,15.9,21.8,0.73,10.9,36.6,12.2,7.15,3.38,13.9,16.5
130,Jacksonville,33,19,14,0.576,-4.29,-3.8,,12,6,,11,3,,7,9,,72.1,71.5,,40.2,26.5,60,0.441,7.3,20.3,0.359,11.8,17.5,0.674,12.7,36.4,13.8,7.76,4.36,13.3,17.5
131,Jacksonville State,36,23,13,0.639,1.76,0.12,,12,6,,12,2,,8,8,,73.7,68.4,,40.3,26.1,58.6,0.446,7.67,21.9,0.351,13.8,18.4,0.752,11,38.4,11.7,5.06,3.53,10.1,13.7
132,James Madison,32,20,12,0.625,-1.72,-2.68,,13,5,,13,2,,5,8,,73.9,70.5,,40.3,25.7,58.6,0.439,8.97,25.9,0.346,13.5,17.9,0.754,11.3,35.7,11.7,6.06,3.16,10.5,16.3
133,Kansas ,34,21,13,0.618,20.09,13.56,,11,9,,14,3,,4,8,,76.1,69.6,,40.4,28.9,61.6,0.47,7.44,21,0.354,10.8,15,0.716,10.6,38.5,17.7,6.21,4.71,11.8,14.3
134,Kansas City,33,13,20,0.394,-5.66,-3.04,,4,12,,9,5,,2,12,,72.3,67.2,,40,24.7,57.5,0.43,8.79,25.6,0.343,14.1,18.5,0.762,11.9,35.4,12.3,7.39,3.21,11.9,16.7
135,Kansas State,33,16,17,0.485,10.89,9.67,,9,11,,10,6,,3,9,,70.8,69.6,,40.2,25.9,58.9,0.441,7.7,23.7,0.325,11.2,16.3,0.691,10.3,33.9,15.3,7.39,3.45,12.1,15.6
136,Kennesaw State,33,19,14,0.576,0.5,0.83,,10,8,,12,3,,5,8,,76.5,73.2,,40.3,26,60.5,0.429,8.61,27.7,0.31,16,22.2,0.719,12.5,40.3,13.3,6.61,4.24,13.7,18.7
137,Kent State,36,24,12,0.667,1.42,-2.67,,11,7,,11,4,,10,6,,73.5,68.3,,40.1,26.4,60.6,0.436,7.19,22.5,0.319,13.6,18.2,0.745,12.8,37.1,12.4,7.5,3.11,11.7,18.1
138,Kentucky ,36,24,12,0.667,21.26,14.04,,10,8,,15,3,,4,6,,84.4,77.2,,40.1,29.6,61.4,0.482,9.47,25.3,0.375,15.8,21.6,0.731,9.89,38,16.9,6.92,4.03,10.9,17.2
139,La Salle,33,14,19,0.424,-3.64,1.02,,5,13,,10,5,,2,10,,72,74.7,,40.2,25.6,62,0.413,6.97,20.8,0.336,13.8,19,0.726,11.9,36.9,11.8,7.21,3.55,10.7,15.8
140,Lafayette,33,13,20,0.394,-10.19,-8.35,,7,11,,10,6,,3,14,,68.5,68.9,,40.5,24.5,56.2,0.436,7.79,22.8,0.341,11.7,17.1,0.684,8.61,33.4,14.7,5.82,3.48,11,15.5
141,Lamar,33,20,13,0.606,-2.17,-2.64,,14,6,,10,4,,9,6,,69.9,65.8,,40.2,25.6,60,0.427,6.97,19.8,0.352,11.7,17,0.687,13.4,38.7,15,7.45,5,12.5,15.3
142,Le Moyne,32,9,23,0.281,-17.81,-8.35,,4,12,,6,7,,2,16,,74.1,80.2,,41.1,25.8,56.3,0.458,7.91,23.3,0.339,14.6,20.7,0.704,9.06,32.8,14.2,6.94,2.16,13.9,19.2
143,Lehigh,30,11,19,0.367,-10.29,-6.71,,6,12,,8,5,,3,14,,70.3,71.4,,40.3,25.3,56.1,0.451,7.87,21.2,0.37,11.9,17.5,0.683,7.33,31.6,13.4,5.8,2.1,10.7,16.2
