,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
257,Saint Francis (PA) ,34,16,18,0.471,-12.76,-7.41,,8,8,,10,4,,6,13,,71,71.6,,40.7,26.5,57.4,0.462,8.26,24.2,0.342,9.71,13.4,0.727,8.53,34,14.2,6.24,2.5,12.9,15.2
258,Saint Joseph's,35,22,13,0.629,7.28,0.85,,11,7,,13,5,,4,6,,75.1,68.6,,40.3,25.9,59.1,0.438,9.23,27.5,0.335,14,18.8,0.746,10.6,37.1,14.6,6.51,5.63,11.3,14.4
259,Saint Louis,34,19,15,0.559,3.04,2.04,,11,7,,14,3,,4,9,,74.3,71.3,,40.3,26.4,55.5,0.477,9.79,27.8,0.352,11.6,17,0.686,7.59,35.2,15,6.35,3.09,12.7,14.7
260,Saint Mary's (CA) ,35,29,6,0.829,17.43,6.46,,17,1,,16,1,,9,1,,72.9,61.1,,40.3,26.9,59.7,0.45,6.37,19.9,0.319,12.8,18.4,0.695,14,39.7,15.1,6.11,4,9.66,14.9
261,Saint Peter's,28,12,16,0.429,-10.64,-8.45,,7,13,,6,6,,6,10,,66,65.8,,40.4,22.3,56.5,0.395,7.11,21.6,0.329,14.3,19.4,0.738,13.5,37.3,10.3,6.79,3.61,13.6,18.9
262,Sam Houston,32,13,19,0.406,-2.86,1.31,,6,12,,9,4,,3,13,,75.3,76,,40.5,25.8,58,0.446,8.63,22.3,0.388,15,20.7,0.725,10.8,35.3,12.9,6.41,2.91,12.7,17.7
263,Samford,33,22,11,0.667,1.13,-3.58,,12,6,,13,3,,9,7,,82.9,75.5,,40.3,29.4,63.8,0.46,10.8,29.6,0.364,13.3,18.5,0.722,13.1,36,16.5,9.88,3.64,13,19.6
264,San Diego,33,6,27,0.182,-8.37,1.63,,2,16,,5,13,,0,12,,70.1,79.7,,40,24.8,61.1,0.407,6.39,21.8,0.293,14,18.7,0.752,11.5,34.3,11.4,7.42,3.58,13.3,21
265,San Diego State ,31,21,10,0.677,12.77,8.14,,14,6,,12,3,,6,4,,70.8,64.6,,40.3,25.5,57.5,0.442,7.71,23.1,0.333,12.1,18.2,0.664,10.1,35.2,13,7.65,5.45,11,18.4
266,San Francisco,35,25,10,0.714,10.46,3.87,,13,5,,17,3,,5,5,,76,69.1,,40.1,26.5,58.5,0.454,8.63,25.5,0.339,14.3,20.1,0.711,10.4,35.6,13.9,6.6,3.34,11.7,18.8
267,San Jose State,35,15,20,0.429,0.5,4.05,,7,13,,7,9,,3,9,,72.1,73.4,,40.4,25.5,57.4,0.444,8.11,23.4,0.347,13.1,17.6,0.745,9.51,34,12.9,5.97,3.03,11.5,15.6
268,Santa Clara,34,21,13,0.618,13.22,4.25,,12,6,,12,5,,6,5,,81.9,73,,40.4,29.1,61.7,0.472,10.9,28.6,0.382,12.8,17.6,0.727,11.3,37.9,17.3,6.53,3,11.9,16.4
269,Seattle,32,14,18,0.438,-0.21,-1.35,,8,8,,9,5,,4,11,,70.4,66.4,,40,23.3,56.2,0.415,6.69,20.7,0.323,17.1,24,0.714,10.8,34.3,12.1,8.09,3.19,11.4,17.9
270,Seton Hall,32,7,25,0.219,-0.26,8.36,,2,18,,5,11,,0,11,,61.6,70.2,,40.5,22.1,55.3,0.4,5.25,16.8,0.312,12.1,18.2,0.663,11.2,31.1,11.2,8.13,3.38,12.5,18
271,Siena,32,14,18,0.438,-7.46,-7.58,,9,11,,9,5,,4,10,,72.2,72.1,,40.6,24.5,57.1,0.429,7.47,22.8,0.328,15.8,21.3,0.743,9.84,32.2,11.8,6.84,4.97,11.8,16.2
272,South Alabama,32,21,11,0.656,1.52,-4.12,,13,5,,13,4,,8,6,,72.9,64.6,,40.9,25.4,57.3,0.444,8.53,26.2,0.326,13.5,19.2,0.704,10,35.3,14.4,9.34,2.63,9.28,13.4
273,South Carolina,32,12,20,0.375,9.89,11.55,,2,16,,10,8,,1,10,,69.8,71.4,,40.3,23.2,54.2,0.427,6.69,21.2,0.316,16.8,23.5,0.715,10.1,34.4,12.7,5.66,2.94,12.4,16.1
274,South Carolina State,33,20,13,0.606,-4.62,-9.05,,11,3,,10,2,,7,10,,79.5,70.4,,40.3,27.3,58.4,0.468,7.09,19.6,0.362,17.8,25.1,0.709,12.4,35.3,15.6,9.48,3.52,14.2,21.1
275,South Carolina Upstate,32,6,26,0.188,-15.67,-2.7,,2,14,,4,10,,2,14,,74.8,83.5,,40,27.5,60.7,0.454,6.94,22.7,0.306,12.8,18.9,0.675,9.34,33.9,13.3,7.56,2.31,14.2,19.3
276,South Dakota,33,19,14,0.576,-5.69,-3.49,,9,7,,14,2,,4,11,,85.2,83.7,,40,28.7,63.8,0.45,7.88,24.6,0.321,20,28,0.714,11.9,35.7,11.6,7.55,3.33,9.61,18.6
277,South Dakota State,32,20,12,0.625,2.15,-1.82,,11,5,,13,1,,4,8,,79.6,73.5,,40,28.5,60.5,0.471,8.66,24.7,0.35,13.8,18.5,0.747,11.7,40.2,14.1,4.69,2.63,12.1,16.2
278,South Florida,32,13,19,0.406,-2.15,-0.18,,6,12,,9,6,,2,10,,74.4,74.5,,40.3,26.3,59.3,0.443,7.06,22.2,0.318,14.7,20.4,0.72,10.3,34.6,14.4,8.28,3.53,11.1,17.1
279,Southeast Missouri State,33,21,12,0.636,-4.84,-7.8,,15,5,,12,3,,8,7,,74,67,,40.3,27.3,59.8,0.456,7.33,22,0.333,12.1,16.7,0.722,8.42,33.1,13.6,8.15,3.61,10.7,18.1
280,Southeastern Louisiana,32,18,14,0.563,-4,-4.67,,12,8,,8,4,,9,8,,72.6,69.8,,40.3,25.8,57.9,0.444,6.09,18.5,0.329,15,20.1,0.749,10.9,35.8,11.8,6.94,2.31,11.7,17.2
281,Southern,32,20,12,0.625,-6.83,-7.9,,15,3,,11,1,,9,10,,74.8,68.3,,40.3,26.5,60.9,0.436,6.63,20.6,0.322,15.1,22.5,0.669,13,37.3,13,9.66,3.84,12.5,18.6
282,Southern California,35,17,18,0.486,12.97,10.86,,7,13,,12,7,,3,7,,76.7,74.6,,40.3,27.3,56.4,0.485,7.17,19.6,0.365,14.9,20.1,0.741,8.57,31.7,15.5,6.31,3.06,12.3,17.7
283,Southern Illinois,33,14,19,0.424,-2.22,1.07,,8,12,,7,8,,5,7,,72.9,74.5,,40.3,26.5,57.5,0.461,6.73,19.2,0.351,13.1,19.4,0.676,10.2,35.5,14.2,6.27,3,12.5,16.9
284,SIU Edwardsville ,34,22,12,0.647,-6.12,-7.44,,13,7,,12,3,,7,8,,71.6,66.5,,40.3,25.7,59.7,0.431,7.32,22,0.333,12.9,19.3,0.67,11.9,38.1,13.6,6.65,4.03,11.4,16.5
285,Southern Indiana,30,10,20,0.333,-13.86,-8.4,,5,15,,8,7,,2,13,,71.5,73.5,,40.5,25.5,59.7,0.428,7.2,20.5,0.351,13.2,18.1,0.731,10.5,35.8,11.4,6.7,2.87,11.7,17.2
286,Southern Methodist,35,24,11,0.686,14.35,5.72,,13,7,,13,6,,7,4,,79.9,71.3,,40,28.3,59.1,0.478,7.86,20.8,0.378,15.5,21.7,0.714,12.5,38.4,15.9,8.06,3.74,11.9,16.8
287,Southern Mississippi,33,11,22,0.333,-9.91,-3.33,,5,13,,9,6,,1,13,,71.3,76,,40.3,25.5,59.2,0.431,6.58,21.7,0.303,13.7,19.8,0.692,10.5,37.4,14.4,6.88,4.3,13.9,16.8
288,Southern Utah,31,12,19,0.387,-10.63,-2.13,,4,12,,8,7,,3,11,,69.8,73.7,,40,24.5,57.6,0.425,5.87,18.8,0.313,15,20.6,0.729,11,37.1,12,5.06,4.39,14.5,17.6
